import time: self [us] | cumulative | imported package
import time:        93 |         93 |         anthropic.types.mid_conversation_system_block_param
import time:        86 |         86 |           anthropic.types.tool_search_tool_result_error_param
import time:        80 |         80 |           anthropic.types.tool_search_tool_search_result_block_param
import time:       105 |        270 |         anthropic.types.tool_search_tool_result_block_param
import time:       184 |        184 |               anthropic.types.code_execution_output_block_param
import time:       174 |        357 |             anthropic.types.code_execution_result_block_param
import time:       142 |        142 |             anthropic.types.code_execution_tool_result_error_param
import time:       174 |        174 |             anthropic.types.encrypted_code_execution_result_block_param
import time:        79 |        751 |           anthropic.types.code_execution_tool_result_block_param_content_param
import time:        99 |        849 |         anthropic.types.code_execution_tool_result_block_param
import time:       464 |        464 |             anthropic.types.bash_code_execution_output_block_param
import time:       195 |        659 |           anthropic.types.bash_code_execution_result_block_param
import time:        93 |         93 |           anthropic.types.bash_code_execution_tool_result_error_param
import time:       177 |        928 |         anthropic.types.bash_code_execution_tool_result_block_param
import time:        88 |         88 |           anthropic.types.text_editor_code_execution_tool_result_error_param
import time:       100 |        100 |           anthropic.types.text_editor_code_execution_view_result_block_param
import time:        80 |         80 |           anthropic.types.text_editor_code_execution_create_result_block_param
import time:       102 |        102 |           anthropic.types.text_editor_code_execution_str_replace_result_block_param
import time:       115 |        482 |         anthropic.types.text_editor_code_execution_tool_result_block_param
import time:       186 |       7266 |       anthropic.types.message_param
import time:        83 |         83 |       anthropic.types.metadata_param
import time:       479 |        479 |       anthropic.types.parsed_message
import time:       153 |        153 |       anthropic.types.thinking_delta
import time:       164 |        164 |       anthropic.types.citations_delta
import time:       160 |        160 |       anthropic.types.signature_delta
import time:       154 |        154 |       anthropic.types.input_json_delta
import time:       168 |        168 |         anthropic.types.tool_bash_20250124_param
import time:       116 |        116 |         anthropic.types.memory_tool_20250818_param
import time:       231 |        231 |         anthropic.types.web_fetch_tool_20250910_param
import time:       446 |        446 |         anthropic.types.web_fetch_tool_20260209_param
import time:       135 |        135 |         anthropic.types.web_fetch_tool_20260309_param
import time:       153 |        153 |         anthropic.types.web_fetch_tool_20260318_param
import time:       100 |        100 |           anthropic.types.user_location_param
import time:       132 |        232 |         anthropic.types.web_search_tool_20250305_param
import time:       134 |        134 |         anthropic.types.web_search_tool_20260209_param
import time:       139 |        139 |         anthropic.types.web_search_tool_20260318_param
import time:       114 |        114 |         anthropic.types.tool_text_editor_20250124_param
import time:       112 |        112 |         anthropic.types.tool_text_editor_20250429_param
import time:       119 |        119 |         anthropic.types.tool_text_editor_20250728_param
import time:       105 |        105 |         anthropic.types.code_execution_tool_20250522_param
import time:       102 |        102 |         anthropic.types.code_execution_tool_20250825_param
import time:       102 |        102 |         anthropic.types.code_execution_tool_20260120_param
import time:       105 |        105 |         anthropic.types.code_execution_tool_20260521_param
import time:       219 |        219 |         anthropic.types.tool_search_tool_bm25_20251119_param
import time:       239 |        239 |         anthropic.types.tool_search_tool_regex_20251119_param
import time:       252 |       3215 |       anthropic.types.tool_union_param
import time:       122 |        122 |         anthropic.types.anthropic_beta_param
import time:       546 |        668 |       anthropic.types.model_list_params
import time:        92 |         92 |         anthropic.types.tool_choice_any_param
import time:        90 |         90 |         anthropic.types.tool_choice_auto_param
import time:        85 |         85 |         anthropic.types.tool_choice_none_param
import time:        81 |         81 |         anthropic.types.tool_choice_tool_param
import time:       105 |        451 |       anthropic.types.tool_choice_param
import time:       246 |        246 |         anthropic.types.raw_message_stop_event
import time:        67 |        313 |       anthropic.types.message_stop_event
import time:       361 |        361 |       anthropic.types.beta_error_response
import time:       180 |        180 |       anthropic.types.content_block_param
import time:       321 |        321 |           anthropic.types.message_delta_usage
import time:       236 |        556 |         anthropic.types.raw_message_delta_event
import time:       173 |        729 |       anthropic.types.message_delta_event
import time:       136 |        136 |         anthropic.types.raw_message_start_event
import time:        74 |        209 |       anthropic.types.message_start_event
import time:        87 |         87 |         anthropic.types.json_output_format_param
import time:        97 |        183 |       anthropic.types.output_config_param
import time:       174 |        174 |           anthropic.types.raw_content_block_stop_event
import time:        87 |         87 |             anthropic.types.raw_content_block_delta
import time:       150 |        236 |           anthropic.types.raw_content_block_delta_event
import time:       174 |        174 |           anthropic.types.raw_content_block_start_event
import time:        91 |        674 |         anthropic.types.raw_message_stream_event
import time:        66 |        739 |       anthropic.types.message_stream_event
import time:       126 |        126 |       anthropic.types.message_tokens_count
import time:        95 |         95 |           anthropic.types.thinking_config_enabled_param
import time:        90 |         90 |           anthropic.types.thinking_config_adaptive_param
import time:        78 |         78 |           anthropic.types.thinking_config_disabled_param
import time:        83 |        346 |         anthropic.types.thinking_config_param
import time:       222 |        568 |       anthropic.types.message_create_params
